tipo_negocio,tiene_reja,anio_apertura,trabajadores_total,trabajadores_salario_fijo,expectativa_trabajadores_3m,ventas_vs_mes_anterior,razon_cambio_ventas,expectativa_ventas_3m,cambio_inventario,expectativa_inventario_3m,percepcion_inventario,cambio_precios,expectativa_precios_3m,impacto_crimen,impacto_falta_credito,impacto_precio_bienes,impacto_competencia,credito_bancos,credito_proveedores,credito_familia,credito_gobierno,credito_privado,credito_otro,razon_sin_credito,quiere_crecer,razon_no_crecer,nivel_digitalizacion,tecnologias_digitales,horario_apertura,horario_cierre,sexo,tipo_local,educacion,rango_edad,latitud,longitud,salario_dejar_negocio_num,salario_dejar_negocio_text,consumo_energia_kw_num,consumo_energia_kw_text,consumo_energia_kw_cash
Bares y pequeños restaurantes,False,2025.0,3.0,3.0,Permanezca igual,Igual,,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Algo,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:30 am,7:00 pm,Hombre,Rentado,Secundaria,De 51 a 60,-34.6111232,-58.3733835,1100000,,,No sabe,
Kiosko,False,2010.0,2.0,1.0,Permanezca igual,Peor,Inflación,Menores,Permaneció igual,Permanezca igual,Demsiado grande,Aumentó,Aumenten,Nada,Nada,Mucho,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",9:00 am,7:00 pm,Hombre,Rentado,Secundaria,De 21 a 30,-34.6101645,-58.3726224,700000,,,No sabe,
Dietéticas,True,2023.0,3.0,0.0,Aumente,Mejor,Temporada,Mayores,Aumentó,Incremente,Muy poco,Aumentó,Aumenten,Nada,Nada,Algo,Nada,False,False,True,False,False,-,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",10:00 am,7:30 pm,Hombre,Rentado,Universidad y más,De 21 a 30,-34.57930847020611,-58.53748288859367,3000000,,,-,
Almacén,True,1992.0,2.0,0.0,Aumente,Igual,Por que la gente se mide mas y no busca la gran compra sino lo necesario,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Disminuyan,Nada,Nada,Poco,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",9:00 am,9:30 pm,Mujer,Propio,Secundaria,De 51 a 60,-34.4675666,-58.6284448,,Si me ofrecen lo suficiente como para poder mantener mis estandares de vida lo haria,,No lo sabe,
Granja,False,2012.0,3.0,3.0,Permanezca igual,Peor,Situación económica del país,Iguales,Disminuyó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Moderado,Nada,False,True,False,False,False,,Las tasas de interés son muy altas,False,Porque tendría que pagar más impuestos,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:30 am,8:30 pm,Hombre,Rentado,Secundaria,De 31 a 40,,,2000000.0,2 millones de pesos argentinos al mes,762.0,762 kw,
Almacén,False,2009.0,6.0,6.0,Permanezca igual,Igual,,Mayores,Permaneció igual,Incremente,Demsiado grande,Aumentó,Permanezcan igual,Poco,Poco,Poco,Poco,False,False,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:00 am,11:00 pm,Hombre,Rentado,Secundaria,De 31 a 40,-34.61023267843668,-58.36335603126207,7000000,,,,
Bares y pequeños restaurantes,False,2025.0,5.0,5.0,Permanezca igual,Mejor,Estabilizacion post elecciones en provincia de Buenos Aires.,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Disminuyan,Mucho,Mucho,Mucho,Moderado,False,False,True,False,False,,Las tasas de interés son muy altas,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",4:30 pm,11:00 pm,Hombre,Propio,Secundaria,De 21 a 30,-34.33326,-58.774195,5000000,,1635,,
Bares y pequeños restaurantes,False,2014.0,5.0,5.0,Aumente,Peor,La gente come menos afuera porque no llega a fin de mes,Mayores,Disminuyó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Poco,Nada,Mucho,Poco,False,False,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",11:00 am,3:30 pm,Mujer,Rentado,Secundaria,De 41 a 50,-34.6095652283403,-58.363530454574565,,,,,
Cafeterías,False,2024.0,2.0,2.0,Disminuya,Peor,,Mayores,Aumentó,Incremente,Demsiado grande,Permaneció igual,Aumenten,Poco,Nada,Nada,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:30 am,8:00 pm,Mujer,Propio,Universidad y más,De 41 a 50,-34.61826555012445,-58.35954131656254,,No lo dejaría,6127,,
Bares y pequeños restaurantes,False,2014.0,8.0,8.0,Permanezca igual,Peor,Falta de Consumo,Menores,Disminuyó,Disminuya,En su nivel correcto,Permaneció igual,Aumenten,Mucho,Poco,Algo,Algo,True,False,False,False,False,,,False,Porque tendría que pagar más impuestos,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:00 am,8:00 pm,Mujer,Propio,Secundaria,De 51 a 60,-34.6160376517753,-58.36161346074434,,,,CONTABAN CON UN GENERADOR,
Kiosko,False,2020.0,2.0,2.0,Permanezca igual,Mejor,El mes anterior fue muy malo,Mayores,Aumentó,Incremente,Muy poco,Permaneció igual,Permanezcan igual,Nada,Nada,Mucho,Poco,False,False,False,False,False,,No necesito un crédito,False,Porque tendría que hacer trámites muy costosos,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",12:00 pm,11:00 pm,Mujer,Rentado,Universidad y más,De 41 a 50,-34.61036132919804,-58.3663992723282,4000000,,,,
Bares y pequeños restaurantes,False,2021.0,9.0,8.0,Permanezca igual,Igual,Por la incertidumbre política y económica del país,Mayores,Disminuyó,Permanezca igual,Muy poco,Permaneció igual,Permanezcan igual,Nada,Poco,Algo,Poco,True,False,False,False,True,Una entidad financiera (Bridas),,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,11:00 pm,Hombre,Rentado,Secundaria,De 31 a 40,-34.86406780127954,-58.5026472335802,6000000,,800,,
Pescadería,False,1987.0,4.0,8.0,Aumente,Mejor,10000,Mayores,Disminuyó,Disminuya,En su nivel correcto,Aumentó,Aumenten,Poco,Mucho,Moderado,Moderado,True,False,False,False,False,,,False,Porque teme a la inseguridad,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,,,,,,,,,,,,,
Bares y pequeños restaurantes,False,2009.0,10.0,8.0,Permanezca igual,Mejor,Aumentaron por el comienzo de la temporada,Mayores,Disminuyó,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Nada,Poco,Mucho,Moderado,True,False,False,False,False,,,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",4:30 pm,11:00 pm,Hombre,Rentado,Secundaria,De 31 a 40,-34.854059589835934,-58.50505170781209,14000000,,2600,,
Fiambrería,False,1986.0,9.0,8.0,Aumente,Mejor,,Mayores,Disminuyó,Disminuya,Demsiado grande,Aumentó,Aumenten,Poco,Poco,Moderado,Poco,True,True,True,True,True,,,True,,,Plataformas online/móviles para hacer pedidos a proveedores.,,,,,,,,,1500000,,,,
Granja,False,2019.0,2.0,2.0,Permanezca igual,Igual,Proximidad a las elecciones legislativas.,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Nada,Nada,False,False,False,False,False,No.,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",9:30 am,8:00 pm,Hombre,Propio,Preparatoria,De 51 a 60,-34.7450064,-58.3918612,30000000.0,Mayor a 30.000.000,,,
Verdulería,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.7636619,-58.405618,,,,,
Dietéticas,False,2018.0,2.0,0.0,Permanezca igual,Peor,Porque hay una obra en construccion del gobierno de la ciudad que impide que se vea el negocio desde afuera,Menores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Mucho,Nada,Nada,Nada,True,True,False,False,False,,,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",9:00 am,8:00 pm,Mujer,Rentado,Universidad y más,De 51 a 60,-34.610594,-58.414989,,no,1082,,
Kiosko,False,2021.0,2.0,2.0,Permanezca igual,Peor,"No hay flujo de gente, no entran. Cree que no tiene dinero.",Mayores,Aumentó,Incremente,Muy poco,Permaneció igual,Aumenten,Poco,Nada,Poco,Algo,True,True,False,False,False,,,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:00 pm,Mujer,Rentado,Universidad y más,De 41 a 50,-34.6241256,-58.4038303,1700000,,1798,,
Kiosko,False,2020.0,1.0,0.0,Permanezca igual,Igual,constancia de clientela,Menores,Aumentó,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Mucho,Nada,Mucho,Nada,False,False,False,False,False,ninguna,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,5:00 pm,Mujer,Rentado,Secundaria,De 51 a 60,,,,nada,233,,
Dietéticas,False,2019.0,2.0,0.0,Permanezca igual,Igual,,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Disminuyan,Poco,Nada,Algo,Poco,False,False,True,False,False,,No necesito un crédito,True,,Ninguno: No usamos ninguna herramienta digital (todos los procesos son manuales).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,8:30 pm,Hombre,Rentado,Secundaria,De 41 a 50,-34.6245596,-58.4653219,1500000,,,No sabe,
Kiosko,False,2020.0,1.0,0.0,Permanezca igual,Igual,clientela constante,Iguales,Aumentó,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Mucho,Nada,False,False,False,False,False,—,No necesito un crédito,False,Porque está satisfecho con su negocio,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,5:00 pm,Mujer,Rentado,Secundaria,De 51 a 60,-34.6326322,-58.4624815,,ninguno,233,,
Cafeterías,False,2017.0,4.0,4.0,Permanezca igual,Igual,,Mayores,Disminuyó,Incremente,Muy poco,Aumentó,Aumenten,Nada,Nada,Mucho,Algo,False,False,True,False,False,,No necesito un crédito,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,5:00 pm,Mujer,Rentado,Universidad y más,De 31 a 40,-34.6020795,-58.3971449,,,2757,,
Kiosko,False,1997.0,4.0,4.0,Permanezca igual,Igual,,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Mucho,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",9:00 am,8:00 pm,Hombre,Rentado,Universidad y más,De 51 a 60,-34.6257238,-58.4690163,0,,1347,,
Almacén,False,2024.0,2.0,0.0,Permanezca igual,Mejor,—,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Disminuyan,Nada,Nada,Mucho,Moderado,False,True,True,False,False,no,Las tasas de interés son muy altas,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:30 am,8:00 pm,Mujer,Rentado,Secundaria,De 41 a 50,-34.6322424,-58.4628519,,ninguno,240,,
Cafeterías,False,2024.0,8.0,8.0,Aumente,Peor,Especulación por elecciones legislativas y tipo de cambio.,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Mucho,Mucho,False,False,False,False,False,No.,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",9:00 am,8:00 pm,Mujer,Rentado,Universidad y más,De 41 a 50,-34.7458324,-58.3903655,,No aceptaría.,4158.0,4158 kW,
Cafeterías,False,2025.0,2.0,0.0,Permanezca igual,Mejor,,Menores,Disminuyó,Disminuya,Muy poco,Permaneció igual,Aumenten,Nada,Nada,Poco,Nada,False,False,False,False,True,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:00 am,6:30 pm,Mujer,Rentado,Universidad y más,De 31 a 40,-34.6033297,-58.396482,,,628,,
Bares y pequeños restaurantes,False,2025.0,4.0,4.0,Permanezca igual,Igual,,Mayores,Aumentó,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Poco,Nada,False,False,False,False,False,,No necesito un crédito,False,Porque está satisfecho con su negocio,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",11:00 am,11:00 pm,Mujer,Rentado,Secundaria,De 31 a 40,-34.6046532,-58.3979804,,,,,
Confitería o Panadería,False,2010.0,3.0,3.0,Permanezca igual,Peor,aumento de precios,Menores,Disminuyó,Disminuya,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Mucho,Moderado,False,True,False,False,True,mercado pago,No necesito un crédito,False,Porque está satisfecho con su negocio,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,8:30 pm,Mujer,Rentado,Secundaria,De 31 a 40,-34.6327127,-58.4626266,,ninguno,,no lo saben,
Bares y pequeños restaurantes,False,2020.0,6.0,6.0,Aumente,Mejor,Fiestas judias,Mayores,Aumentó,Incremente,Demsiado grande,Bajó,Aumenten,Algo,Nada,Mucho,Nada,False,False,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:00 am,5:00 pm,Mujer,Rentado,Universidad y más,De 21 a 30,-34.60209,-58.398612,,,,,
Kiosko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.764927,-58.4016228,,,,,
Almacén,False,1997.0,5.0,5.0,Aumente,Igual,La inflación,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Poco,Nada,False,False,False,False,False,Ninguna,No necesito un crédito,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:00 pm,Hombre,Propio,Primaria,De 31 a 40,-34.5439714,-58.4816505,1500000,,,No sabe,
Kiosko,True,2000.0,5.0,5.0,Permanezca igual,Igual,,Mayores,Permaneció igual,Incremente,Muy poco,Permaneció igual,Permanezcan igual,Nada,Nada,Mucho,Nada,False,False,False,False,False,,No necesito un crédito,False,Porque sería muy complicado administrarlo,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",6:00 am,11:00 pm,Mujer,Rentado,Secundaria,De 51 a 60,-34.8008109,-58.3975177,,No sabe,,No sabe,
Confitería o Panadería,True,2025.0,3.0,2.0,Permanezca igual,Mejor,,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Nada,Algo,True,False,True,False,False,BBVA Francés,,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,7:00 pm,Mujer,Propio,Universidad y más,De 21 a 30,,,,No lo haría,,No sabe,
Verdulería,False,2003.0,3.0,3.0,Permanezca igual,Igual,,Mayores,Permaneció igual,Disminuya,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Mucho,Mucho,False,False,True,False,False,,Las tasas de interés son muy altas,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,7:00 am,8:00 pm,Hombre,Rentado,Secundaria,De 41 a 50,-34.6245587,-58.4650872,700000,,,No sabe,
Cafeterías,False,2025.0,2.0,0.0,Aumente,Igual,El negocio sigue siendo una novedad,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Poco,Poco,False,False,True,False,True,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:00 am,8:00 pm,Hombre,Rentado,Universidad y más,De 51 a 60,-34.5391404,-58.7129461,6000000,,,,
Cafeterías,True,2023.0,5.0,5.0,Aumente,Mejor,Día de la madre,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Bajó,Aumenten,Nada,Poco,Mucho,Mucho,False,True,False,False,True,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",8:00 am,8:00 pm,Hombre,Rentado,Preparatoria,De 41 a 50,,,2000000,,,No sabe,
Kiosko,True,2023.0,6.0,6.0,Permanezca igual,Peor,Por la economia,Mayores,Disminuyó,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Algo,Moderado,False,False,False,False,False,,No necesito un crédito,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",6:00 am,11:00 pm,Mujer,Rentado,Universidad y más,De 41 a 50,-34.7998886,-58.3962996,,Mas de un millon,,No sabe,
Almacén,True,2021.0,1.0,1.0,Aumente,Peor,No le alcanza la plata a la gente,Mayores,Aumentó,Incremente,En su nivel correcto,Bajó,Disminuyan,Nada,Nada,Algo,Mucho,False,True,True,False,True,,Los procedimientos para aplicar son complicados,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,12:00 pm,Mujer,Rentado,Secundaria,De 41 a 50,-34.5467272,-58.4781395,,No aceptaría ningún precio,,No sabe,
Dietéticas,False,2023.0,6.0,6.0,Permanezca igual,Mejor,"Se vio un incremento que la gente tiende a cuidarse más, cosas sin gluten",Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Algo,Poco,False,True,False,False,True,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",9:30 am,9:30 pm,Hombre,Rentado,Preparatoria,De 21 a 30,-34.6157128,-58.3629045,4000000,,,No se acuerda,
Almacén,False,2023.0,3.0,2.0,Permanezca igual,Igual,Las personas no sufren crisis (en esta zona) y consumen siempre cantidades parecidas,Iguales,Aumentó,Disminuya,En su nivel correcto,Permaneció igual,Permanezcan igual,Moderado,Nada,Poco,Poco,False,False,True,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,9:00 pm,Hombre,Rentado,Universidad y más,De 21 a 30,-34.587086,-58.3989493,0,,3500,,
Fiambrería,True,2001.0,2.0,1.0,Permanezca igual,Peor,Por la economia,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Disminuyan,Nada,Nada,Mucho,Moderado,False,False,False,False,False,,No necesito un crédito,False,Porque tendría que pagar más impuestos,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:00 am,8:00 pm,Hombre,Rentado,Universidad y más,De 41 a 50,-34.7990981,-58.3949686,5000000.0,Entre 5 y 6 millones,,No sabe,
